Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0441541L;Ecole élémentaire Le Chambord;ECOLE ELEMENTAIRE PUBLIQUE;LE CHAMBORD;Public;Rue Beauséjour;;;44650;LEGE;Legé;350677.9;6653046.0;EPSG:2154;46.88618840944308;-1.5900801260630772;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44081;Loire-Atlantique;Pays de la Loire;Nantes;46.8861884094,-1.59008012606;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1971-10-05
0441604E;Ecole primaire Jules Verne;ECOLE PRIMAIRE PUBLIQUE;JULES VERNE;Public;22 rue de la Résistance;BESLE SUR VILAINE;;44290;GUEMENE PENFAO;Guémené-Penfao;335345.7;6744171.8;EPSG:2154;47.69680803833815;-1.8647305959723874;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44067;Loire-Atlantique;Pays de la Loire;Nantes;47.6968080383,-1.86473059597;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1972-09-29
0441624B;Ecole maternelle Madame de Sévigné;ECOLE MATERNELLE PUBLIQUE;MADAME DE SEVIGNE;Public;483 boulevard de Sévigné;ANCENIS;;44150;ANCENIS ST GEREON;Ancenis-Saint-Géréon;384622.7;6705809.2;EPSG:2154;47.377447898828834;-1.1815983793173244;Correcte;Rue;101;ECOLE MATERNELLE;1;OUVERT;44;52;17;44003;Loire-Atlantique;Pays de la Loire;Nantes;47.3774478988,-1.18159837932;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1973-06-08
0441790G;Lycée agricole privé Saint-Joseph de Châteaubriant;LYCEE AGRICOLE PRIVE;ST JOSEPH - CHATEAUBRIANT;Privé;40 RUE MICHEL GRIMAULT;;39;44141;CHATEAUBRIANT CEDEX;Châteaubriant;372001.3;6744135.1;EPSG:2154;47.71577392973552;-1.3767501382811744;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;44;52;17;44036;Loire-Atlantique;Pays de la Loire;Nantes;47.7157739297,-1.37675013828;99;SANS OBJET;03;AGRICULTURE;1977-09-07
0441791H;Lycée agricole privé de Nort-sur-Erdre;LYCEE AGRICOLE PRIVE;DE NORT SUR ERDRE;Privé;13 RUE DU GAL LECLERC;;;44390;NORT SUR ERDRE;Nort-sur-Erdre;361105.6;6713981.7;EPSG:2154;47.4392750754714;-1.4989294235439432;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;44;52;17;44110;Loire-Atlantique;Pays de la Loire;Nantes;47.4392750755,-1.49892942354;99;SANS OBJET;03;AGRICULTURE;1955-04-21
0441819N;Section d'enseignement général et professionnel adapté du Collège La Reinetière;SEGPA;CLG LA REINETIERE;Public;Boulevard Pasteur;;8236;44980;STE LUCE SUR LOIRE;Sainte-Luce-sur-Loire;360753.6;6693813.0;EPSG:2154;47.25782589536159;-1.4883894614363378;Parfaite;Numéro de rue;390;SECTION ENSEIGNT GEN. ET PROF. ADAPTE;1;OUVERT;44;52;17;44172;Loire-Atlantique;Pays de la Loire;Nantes;47.2578258954,-1.48838946144;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1977-03-24
0441835F;Maison Familiale Rurale d'Aigrefeuille;MAISON FAMILIALE RURALE;D'AIGREFEUILLE;Privé;54 AVENUE DE NANTES;;;44140;AIGREFEUILLE SUR MAINE;Aigrefeuille-sur-Maine;365934.9;6673602.3;EPSG:2154;47.078785672666015;-1.4050803849906035;Parfaite;Numéro de rue;380;MAISON FAMILIALE RURALE EDUCATION ORIENT;1;OUVERT;44;52;17;44002;Loire-Atlantique;Pays de la Loire;Nantes;47.0787856727,-1.40508038499;99;SANS OBJET;03;AGRICULTURE;1977-03-03
0441935P;Collège privé Notre-Dame de Toutes Aides;COLLEGE PRIVE;NOTRE-DAME DE TOUTES AIDES;Privé;33 boulevard LOUIS MILLET;;71903;44319;NANTES CEDEX 3;Nantes;358255.0;6690645.5;EPSG:2154;47.228074247470396;-1.5189794803889016;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2280742475,-1.51897948039;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1980-09-01
0441936R;Collège privé La Perverie Sacré-Coeur;COLLEGE PRIVE;LA PERVERIE SACRE COEUR;Privé;63  RUE DE LA PERVERIE;;;44322;NANTES CEDEX 3;Nantes;355082.2;6692546.1;EPSG:2154;47.24351476296307;-1.5622918229573297;Correcte;Numéro de rue;340;COLLEGE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.243514763,-1.56229182296;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1980-09-01
0441937S;Collège privé Saint-Donatien;COLLEGE PRIVE;ST DONATIEN;Privé;6 rue GUILLET DE LA BROSSE;;60105;44000;NANTES;Nantes;356396.9;6690941.1;EPSG:2154;47.22977163313696;-1.543720222749875;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2297716331,-1.54372022275;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1980-09-01
